#: table_doi: 10.17182/hepdata.65229.v1/t35
#: name: Table 35
#: description: Trans-max $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 210\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table35.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.2289,0.01986,-0.01986,0.03721,-0.04403
0.382,0.2865,0.4775,0.2829,0.02604,-0.02604,0.1371,-0.0814
0.573,0.4775,0.6685,0.3448,0.02873,-0.02873,0.04464,-0.01021
0.76395,0.6685,0.8594,0.4053,0.02834,-0.02834,0.04926,-0.08281
0.9547000000000001,0.8594,1.05,0.4298,0.02647,-0.02647,0.02161,-0.0545
1.1455000000000002,1.05,1.241,0.4356,0.02716,-0.02716,0.07306,-0.09978
1.3365,1.241,1.432,0.412,0.02805,-0.02805,0.1,-0.05285
1.5274999999999999,1.432,1.623,0.3712,0.02731,-0.02731,0.03201,-0.01208
1.7185000000000001,1.623,1.814,0.3421,0.02388,-0.02388,0.02833,-0.0309
1.9095,1.814,2.005,0.3045,0.02164,-0.02164,0.03571,-0.04736
2.1959999999999997,2.005,2.387,0.2518,0.01399,-0.01399,0.02754,-0.02838
2.5780000000000003,2.387,2.769,0.19,0.0138,-0.0138,0.01458,-0.01202
2.96,2.769,3.151,0.1419,0.012,-0.012,0.01538,-0.01187
3.3419999999999996,3.151,3.533,0.09012,0.009137,-0.009137,0.01666,-0.01336
3.724,3.533,3.915,0.04998,0.007584,-0.007584,0.01247,-0.007139

#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET JET X
#: Region,,,Trans-max
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.4663,0.0764,-0.0764,0.1114,-0.1173
0.382,0.2865,0.4775,0.4897,0.1025,-0.1025,0.2349,-0.1807
0.573,0.4775,0.6685,0.5101,0.09032,-0.09032,0.09717,-0.02368
0.76395,0.6685,0.8594,0.4801,0.05522,-0.05522,0.119,-0.1245
0.9547000000000001,0.8594,1.05,0.4986,0.05808,-0.05808,0.01634,-0.08162
1.1455000000000002,1.05,1.241,0.5515,0.06998,-0.06998,0.1108,-0.188
1.3365,1.241,1.432,0.5322,0.08852,-0.08852,0.1448,-0.08934
1.5274999999999999,1.432,1.623,0.4294,0.06645,-0.06645,0.0764,-0.02811
1.7185000000000001,1.623,1.814,0.3335,0.06156,-0.06156,0.08146,-0.06047
1.9095,1.814,2.005,0.2401,0.0393,-0.0393,0.07717,-0.08643
2.1959999999999997,2.005,2.387,0.1251,0.01813,-0.01813,0.05287,-0.05121
2.5780000000000003,2.387,2.769,0.05464,0.005479,-0.005479,0.03639,-0.03368
2.96,2.769,3.151,0.03878,0.01031,-0.01031,0.02496,-0.02479
3.3419999999999996,3.151,3.533,0.02608,0.01133,-0.01133,0.01356,-0.01362
3.724,3.533,3.915,0.01323,0.00495,-0.00495,0.004572,-0.005435

