#: table_doi: 10.17182/hepdata.65229.v1/t27
#: name: Table 27
#: description: Trans-min $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 20\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table27.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.6577,0.02645,-0.02645,0.0687,-0.07233
0.382,0.2865,0.4775,0.7175,0.03511,-0.03511,0.2462,-0.1609
0.573,0.4775,0.6685,0.696,0.03864,-0.03864,0.06809,-0.04829
0.76395,0.6685,0.8594,0.618,0.02849,-0.02849,0.06916,-0.116
0.9547000000000001,0.8594,1.05,0.53,0.02425,-0.02425,0.005809,-0.08207
1.1455000000000002,1.05,1.241,0.4244,0.02376,-0.02376,0.01606,-0.05402
1.3365,1.241,1.432,0.3252,0.02127,-0.02127,0.05312,-0.03635
1.5274999999999999,1.432,1.623,0.2443,0.02015,-0.02015,0.04701,-0.04374
1.7185000000000001,1.623,1.814,0.1721,0.01558,-0.01558,0.04454,-0.03668
1.9095,1.814,2.005,0.1289,0.01094,-0.01094,0.04065,-0.04035
2.1959999999999997,2.005,2.387,0.0722,0.006277,-0.006277,0.02263,-0.02383
2.5780000000000003,2.387,2.769,0.03187,0.004664,-0.004664,0.01456,-0.01329
2.96,2.769,3.151,0.01397,0.002323,-0.002323,0.007433,-0.006977
3.3419999999999996,3.151,3.533,0.00587,0.001572,-0.001572,0.003548,-0.003411
3.724,3.533,3.915,0.003249,0.001163,-0.001163,0.001933,-0.002158

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Trans-min
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.190995,0.09549,0.2865,0.6823,0.07128,-0.07128,0.07564,-0.07469
0.382,0.2865,0.4775,0.698,0.08592,-0.08592,0.2312,-0.1133
0.573,0.4775,0.6685,0.7293,0.09213,-0.09213,0.0734,-0.05098
0.76395,0.6685,0.8594,0.7079,0.09216,-0.09216,0.09716,-0.1499
0.9547000000000001,0.8594,1.05,0.5877,0.06473,-0.06473,0.05055,-0.1049
1.1455000000000002,1.05,1.241,0.4377,0.07016,-0.07016,0.005658,-0.04289
1.3365,1.241,1.432,0.2897,0.04877,-0.04877,0.04022,-0.03633
1.5274999999999999,1.432,1.623,0.174,0.03145,-0.03145,0.06447,-0.06101
1.7185000000000001,1.623,1.814,0.1138,0.02188,-0.02188,0.05775,-0.05668
1.9095,1.814,2.005,0.08223,0.01638,-0.01638,0.04727,-0.04859
2.1959999999999997,2.005,2.387,0.05527,0.01019,-0.01019,0.03147,-0.0329
2.5780000000000003,2.387,2.769,0.02694,0.008023,-0.008023,0.01954,-0.01753
2.96,2.769,3.151,0.01071,0.004203,-0.004203,0.008536,-0.005287
3.3419999999999996,3.151,3.533,0.006567,0.001453,-0.001453,0.005756,-0.005041
3.724,3.533,3.915,0.002103,0.001365,-0.001365,0.001965,-0.00173

