#: table_doi: 10.17182/hepdata.65229.v1/t7
#: name: Table 7
#: description: Transverse $\langle \sum E_T^\text{ch+neut} / \delta\eta\,\delta\phi \rangle$ vs. $p_T^\text{lead}$ in $|\eta| < 2.5$ in incl jet / excl dijet events.

#: data_file: Table7.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum E_T^\text{ch+neut} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,2.54,0.003907,-0.003907,0.1278,-0.1259
35.0,30.0,40.0,2.515,0.00961,-0.00961,0.2041,-0.1996
50.0,40.0,60.0,2.522,0.01571,-0.01571,0.3068,-0.07638
70.0,60.0,80.0,2.719,0.00843,-0.00843,0.1915,-0.1737
95.0,80.0,110.0,2.932,0.01739,-0.01739,0.2685,-0.2024
135.0,110.0,160.0,3.199,0.01183,-0.01183,0.2316,-0.193
185.0,160.0,210.0,3.501,0.01947,-0.01947,0.2468,-0.2169
235.0,210.0,260.0,3.831,0.02846,-0.02846,0.2253,-0.2191
285.0,260.0,310.0,3.952,0.05671,-0.05671,0.3415,-0.2209
355.0,310.0,400.0,4.167,0.05207,-0.05207,0.2296,-0.1958
600.0,400.0,800.0,4.735,0.124,-0.124,0.2642,-0.3177

#: PT(LEAD) [GEV],,,> 20
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$p_T^\text{lead}$ (GeV),$p_T^\text{lead}$ (GeV) LOW,$p_T^\text{lead}$ (GeV) HIGH,$\langle \sum E_T^\text{ch+neut} / \delta\eta \delta\phi \rangle$ (GeV),stat +,stat -,sys +,sys -
25.0,20.0,30.0,2.478,0.01206,-0.01206,0.4635,-0.4663
35.0,30.0,40.0,2.428,0.01406,-0.01406,0.2339,-0.2186
50.0,40.0,60.0,2.324,0.01951,-0.01951,0.1546,-0.1026
70.0,60.0,80.0,2.397,0.009484,-0.009484,0.106,-0.111
95.0,80.0,110.0,2.374,0.01754,-0.01754,0.1421,-0.1854
135.0,110.0,160.0,2.373,0.01077,-0.01077,0.1068,-0.09828
185.0,160.0,210.0,2.314,0.01609,-0.01609,0.1174,-0.0923
235.0,210.0,260.0,2.223,0.02101,-0.02101,0.08831,-0.1502
285.0,260.0,310.0,2.167,0.04178,-0.04178,0.1212,-0.1657
355.0,310.0,400.0,2.124,0.03331,-0.03331,0.1287,-0.08417
600.0,400.0,800.0,2.065,0.07392,-0.07392,0.0579,-0.2119

