#: table_doi: 10.17182/hepdata.70547.v2/t26
#: name: Table 26
#: description: Transverse charged multiplicity distribution, Z-boson pT = 20 - 50 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table26.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.4292744,0.0127483,-0.0127483
0.19095,0.1432,0.2387,0.5316146,0.01246398,-0.01246398
0.28645,0.2387,0.3342,0.6235954,0.01227805,-0.01227805
0.38195,0.3342,0.4297,0.6797895,0.011857,-0.011857
0.47745000000000004,0.4297,0.5252,0.7124918,0.0113358,-0.0113358
0.5729500000000001,0.5252,0.6207,0.708615,0.01053361,-0.01053361
0.66845,0.6207,0.7162,0.6869187,0.009639066,-0.009639066
0.7639499999999999,0.7162,0.8117,0.6613579,0.008204901,-0.008204901
0.85945,0.8117,0.9072,0.6247264,0.006685119,-0.006685119
0.95495,0.9072,1.0027,0.5772081,0.005748929,-0.005748929
1.05045,1.0027,1.0982,0.5249946,0.005063509,-0.005063509
1.14595,1.0982,1.1937,0.4793225,0.004846207,-0.004846207
1.24145,1.1937,1.2892,0.4308427,0.005295725,-0.005295725
1.3369,1.2892,1.3846,0.3752619,0.005959513,-0.005959513
1.43235,1.3846,1.4801,0.3353538,0.006362752,-0.006362752
1.52785,1.4801,1.5756,0.2842529,0.006222252,-0.006222252
1.6233499999999998,1.5756,1.6711,0.2512539,0.006319701,-0.006319701
1.71885,1.6711,1.7666,0.2150305,0.006549761,-0.006549761
1.8143500000000001,1.7666,1.8621,0.1856524,0.006460896,-0.006460896
1.90985,1.8621,1.9576,0.1580894,0.006365759,-0.006365759
2.00535,1.9576,2.0531,0.1325881,0.005952795,-0.005952795
2.1008500000000003,2.0531,2.1486,0.1090676,0.005608962,-0.005608962
2.19635,2.1486,2.2441,0.09280015,0.005255685,-0.005255685
2.29185,2.2441,2.3396,0.07492062,0.004714381,-0.004714381
2.3873499999999996,2.3396,2.4351,0.06402336,0.003908979,-0.003908979
2.48285,2.4351,2.5306,0.05219745,0.003208015,-0.003208015
2.5783500000000004,2.5306,2.6261,0.04432583,0.002663998,-0.002663998
2.72155,2.6261,2.817,0.03298302,0.002210893,-0.002210893
2.9125,2.817,3.008,0.02213282,0.00181733,-0.00181733
3.1035,3.008,3.199,0.01387599,0.001224299,-0.001224299
3.2945,3.199,3.39,0.00968761,0.0008221851,-0.0008221851
3.4855,3.39,3.581,0.005982781,0.0006851517,-0.0006851517
3.9391,3.581,4.2972,0.002477479,0.0005563305,-0.0005563305
4.5359,4.2972,4.7746,0.0009702201,0.0001992718,-0.0001992718

