#: table_doi: 10.17182/hepdata.70547.v2/t85
#: name: Table 85
#: description: Towards charged multiplicity distribution, Z-boson pT = 10 - 20 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table97.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,10.0-20.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.6526054,0.01190337,-0.01190337
0.19095,0.1432,0.2387,0.706153,0.01162761,-0.01162761
0.28645,0.2387,0.3342,0.7649053,0.01121415,-0.01121415
0.38195,0.3342,0.4297,0.7970087,0.01108643,-0.01108643
0.47745000000000004,0.4297,0.5252,0.7935202,0.01122018,-0.01122018
0.5729500000000001,0.5252,0.6207,0.7622157,0.0110087,-0.0110087
0.66845,0.6207,0.7162,0.7118303,0.009607978,-0.009607978
0.7639499999999999,0.7162,0.8117,0.6632827,0.007910453,-0.007910453
0.85945,0.8117,0.9072,0.6051587,0.006741753,-0.006741753
0.95495,0.9072,1.0027,0.5406921,0.005704888,-0.005704888
1.05045,1.0027,1.0982,0.4808019,0.004922795,-0.004922795
1.14595,1.0982,1.1937,0.4208005,0.004861565,-0.004861565
1.24145,1.1937,1.2892,0.3575911,0.005681564,-0.005681564
1.3369,1.2892,1.3846,0.3068197,0.006358736,-0.006358736
1.43235,1.3846,1.4801,0.2555771,0.006672755,-0.006672755
1.52785,1.4801,1.5756,0.2124759,0.006733172,-0.006733172
1.6233499999999998,1.5756,1.6711,0.1772206,0.006659261,-0.006659261
1.71885,1.6711,1.7666,0.1451082,0.006514981,-0.006514981
1.8143500000000001,1.7666,1.8621,0.1152273,0.006475392,-0.006475392
1.90985,1.8621,1.9576,0.09378789,0.00606653,-0.00606653
2.00535,1.9576,2.0531,0.07628039,0.005493185,-0.005493185
2.1008500000000003,2.0531,2.1486,0.06141532,0.005049017,-0.005049017
2.19635,2.1486,2.2441,0.05030407,0.004487104,-0.004487104
2.29185,2.2441,2.3396,0.04155552,0.004000896,-0.004000896
2.3873499999999996,2.3396,2.4351,0.03398111,0.003306672,-0.003306672
2.48285,2.4351,2.5306,0.02816949,0.002620881,-0.002620881
2.5783500000000004,2.5306,2.6261,0.02229673,0.00202487,-0.00202487
2.72155,2.6261,2.817,0.01341391,0.001664724,-0.001664724
2.9125,2.817,3.008,0.008688391,0.001325008,-0.001325008
3.1035,3.008,3.199,0.005157977,0.0007612237,-0.0007612237
3.2945,3.199,3.39,0.003270299,0.0005370569,-0.0005370569
3.4855,3.39,3.581,0.002388346,0.000362219,-0.000362219

