#: table_doi: 10.17182/hepdata.70547.v2/t95
#: name: Table 95
#: description: Trans.min. charged multiplicity distribution, Z-boson pT = 0 - 5 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table113.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,0.0-5.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.9909577,0.00895199,-0.00895199
0.382,0.2865,0.4775,0.8317721,0.00657249,-0.00657249
0.573,0.4775,0.6685,0.6658144,0.005080457,-0.005080457
0.76395,0.6685,0.8594,0.5036747,0.003288733,-0.003288733
0.9549000000000001,0.8594,1.0504,0.3672843,0.002957671,-0.002957671
1.1459000000000001,1.0504,1.2414,0.25947,0.003324405,-0.003324405
1.3369,1.2414,1.4324,0.1737835,0.004035133,-0.004035133
1.5278999999999998,1.4324,1.6234,0.1156552,0.004425687,-0.004425687
1.7189,1.6234,1.8144,0.07432427,0.004051688,-0.004051688
1.9099,1.8144,2.0054,0.04739953,0.003526689,-0.003526689
2.10085,2.0054,2.1963,0.03031456,0.002887855,-0.002887855
2.2918000000000003,2.1963,2.3873,0.01738558,0.002295128,-0.002295128
2.4828,2.3873,2.5783,0.01125358,0.001732806,-0.001732806
2.6738,2.5783,2.7693,0.006159929,0.001290442,-0.001290442
2.8648,2.7693,2.9603,0.003665094,0.0009510584,-0.0009510584
3.1513,2.9603,3.3423,0.00140044,0.000517398,-0.000517398

