#: table_doi: 10.17182/hepdata.70547.v2/t122
#: name: Table 122
#: description: Trans.min. scalar pT sum distribution, Z-boson pT = 20 - 50 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table146.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,2.2502,0.03696729,-0.03696729
0.11075,0.105,0.1165,1.869898,0.03315179,-0.03315179
0.12225,0.1165,0.128,1.540733,0.03207538,-0.03207538
0.13369999999999999,0.128,0.1394,1.230732,0.04184512,-0.04184512
0.1461,0.1394,0.1528,1.059063,0.0323268,-0.0323268
0.16044999999999998,0.1528,0.1681,0.8546403,0.02496223,-0.02496223
0.17765,0.1681,0.1872,0.6935755,0.02068429,-0.02068429
0.19675,0.1872,0.2063,0.6250727,0.01854679,-0.01854679
0.21775,0.2063,0.2292,0.8647699,0.01741923,-0.01741923
0.24064999999999998,0.2292,0.2521,0.925414,0.01753427,-0.01753427
0.26165,0.2521,0.2712,0.9057057,0.01573588,-0.01573588
0.28359999999999996,0.2712,0.296,0.8299252,0.0150472,-0.0150472
0.31035,0.296,0.3247,0.7598656,0.01363434,-0.01363434
0.3438,0.3247,0.3629,0.7595588,0.01108545,-0.01108545
0.382,0.3629,0.4011,0.7479666,0.009734831,-0.009734831
0.4202,0.4011,0.4393,0.7161762,0.008370679,-0.008370679
0.45840000000000003,0.4393,0.4775,0.6975971,0.007916446,-0.007916446
0.50615,0.4775,0.5348,0.6294591,0.007272215,-0.007272215
0.56345,0.5348,0.5921,0.6046815,0.006940397,-0.006940397
0.6207499999999999,0.5921,0.6494,0.5579923,0.006823614,-0.006823614
0.6779999999999999,0.6494,0.7066,0.5280581,0.00649671,-0.00649671
0.7448,0.7066,0.783,0.4941248,0.006478027,-0.006478027
0.8212,0.783,0.8594,0.447017,0.006218103,-0.006218103
0.8976,0.8594,0.9358,0.4135735,0.006209606,-0.006209606
0.9931,0.9358,1.0504,0.3649218,0.006158698,-0.006158698
1.0934,1.0504,1.1364,0.3088219,0.005990085,-0.005990085
1.1937,1.1364,1.251,0.2730316,0.005475495,-0.005475495
1.31305,1.251,1.3751,0.231843,0.00504718,-0.00504718
1.4419499999999998,1.3751,1.5088,0.1908497,0.004618032,-0.004618032
1.5852,1.5088,1.6616,0.1543675,0.004313526,-0.004313526
1.74755,1.6616,1.8335,0.1216735,0.003747481,-0.003747481
1.9242,1.8335,2.0149,0.09415607,0.003169157,-0.003169157
2.11515,2.0149,2.2154,0.07052732,0.002611549,-0.002611549
2.33,2.2154,2.4446,0.05178684,0.002263183,-0.002263183
2.564,2.4446,2.6834,0.03660992,0.001741871,-0.001741871
2.81705,2.6834,2.9507,0.02628029,0.001405682,-0.001405682
3.09875,2.9507,3.2468,0.01878133,0.001074738,-0.001074738
3.4091,3.2468,3.5714,0.01216638,0.0007944044,-0.0007944044
3.7481,3.5714,3.9248,0.008040708,0.0006164441,-0.0006164441
4.12055,3.9248,4.3163,0.005474683,0.0004692564,-0.0004692564
4.5359,4.3163,4.7555,0.003832958,0.0003367358,-0.0003367358
4.994249999999999,4.7555,5.233,0.002676336,0.0002644169,-0.0002644169
5.49085,5.233,5.7487,0.002039543,0.0002114368,-0.0002114368
6.03515,5.7487,6.3216,0.001486297,0.0001514814,-0.0001514814
6.641500000000001,6.3216,6.9614,0.00101148,0.0001190464,-0.0001190464
7.309950000000001,6.9614,7.6585,0.0007201153,9.726296e-05,-9.726296e-05
8.0405,7.6585,8.4225,0.0005023159,7.236664e-05,-7.236664e-05

