#: table_doi: 10.17182/hepdata.70547.v2/t92
#: name: Table 92
#: description: Transverse charged multiplicity distribution, Z-boson pT = 20 - 50 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table104.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.4244459,0.01277235,-0.01277235
0.19095,0.1432,0.2387,0.5325529,0.01244337,-0.01244337
0.28645,0.2387,0.3342,0.6241161,0.01229516,-0.01229516
0.38195,0.3342,0.4297,0.6812446,0.01185424,-0.01185424
0.47745000000000004,0.4297,0.5252,0.7156742,0.01134601,-0.01134601
0.5729500000000001,0.5252,0.6207,0.712036,0.01051894,-0.01051894
0.66845,0.6207,0.7162,0.6915527,0.009585441,-0.009585441
0.7639499999999999,0.7162,0.8117,0.6639598,0.008002936,-0.008002936
0.85945,0.8117,0.9072,0.6276526,0.006632245,-0.006632245
0.95495,0.9072,1.0027,0.5793912,0.005681284,-0.005681284
1.05045,1.0027,1.0982,0.5275256,0.005043728,-0.005043728
1.14595,1.0982,1.1937,0.4812773,0.004826171,-0.004826171
1.24145,1.1937,1.2892,0.4308437,0.005308792,-0.005308792
1.3369,1.2892,1.3846,0.3747247,0.00597853,-0.00597853
1.43235,1.3846,1.4801,0.335209,0.00637288,-0.00637288
1.52785,1.4801,1.5756,0.2829561,0.006217332,-0.006217332
1.6233499999999998,1.5756,1.6711,0.2496626,0.00629083,-0.00629083
1.71885,1.6711,1.7666,0.2127906,0.006521057,-0.006521057
1.8143500000000001,1.7666,1.8621,0.1846666,0.006418965,-0.006418965
1.90985,1.8621,1.9576,0.1563099,0.006341683,-0.006341683
2.00535,1.9576,2.0531,0.1307579,0.005918616,-0.005918616
2.1008500000000003,2.0531,2.1486,0.1071649,0.005577516,-0.005577516
2.19635,2.1486,2.2441,0.09101133,0.005229708,-0.005229708
2.29185,2.2441,2.3396,0.07379652,0.004698609,-0.004698609
2.3873499999999996,2.3396,2.4351,0.06304909,0.003904956,-0.003904956
2.48285,2.4351,2.5306,0.05166355,0.003183598,-0.003183598
2.5783500000000004,2.5306,2.6261,0.04436908,0.002651962,-0.002651962
2.72155,2.6261,2.817,0.03202818,0.002180911,-0.002180911
2.9125,2.817,3.008,0.02121911,0.001797667,-0.001797667
3.1035,3.008,3.199,0.01379018,0.001222729,-0.001222729
3.2945,3.199,3.39,0.009510572,0.0008173969,-0.0008173969
3.4855,3.39,3.581,0.00581166,0.0006819804,-0.0006819804
3.9391,3.581,4.2972,0.002328312,0.0005465873,-0.0005465873
4.5359,4.2972,4.7746,0.0009490221,0.0002047796,-0.0002047796

