#: table_doi: 10.17182/hepdata.70547.v2/t83
#: name: Table 83
#: description: Towards charged multiplicity distribution, Z-boson pT = 0 - 5 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table95.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,0.0-5.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.8103776,0.01018389,-0.01018389
0.19095,0.1432,0.2387,0.8275227,0.009641478,-0.009641478
0.28645,0.2387,0.3342,0.8367651,0.008934864,-0.008934864
0.38195,0.3342,0.4297,0.8562097,0.008497395,-0.008497395
0.47745000000000004,0.4297,0.5252,0.8244835,0.008316564,-0.008316564
0.5729500000000001,0.5252,0.6207,0.761831,0.007887492,-0.007887492
0.66845,0.6207,0.7162,0.7012657,0.007730209,-0.007730209
0.7639499999999999,0.7162,0.8117,0.6290307,0.006347413,-0.006347413
0.85945,0.8117,0.9072,0.565962,0.005987604,-0.005987604
0.95495,0.9072,1.0027,0.5058858,0.005321579,-0.005321579
1.05045,1.0027,1.0982,0.4299528,0.0050551,-0.0050551
1.14595,1.0982,1.1937,0.3686119,0.004766389,-0.004766389
1.24145,1.1937,1.2892,0.3138508,0.004938821,-0.004938821
1.3369,1.2892,1.3846,0.2579466,0.004952785,-0.004952785
1.43235,1.3846,1.4801,0.217359,0.005138334,-0.005138334
1.52785,1.4801,1.5756,0.174882,0.005005597,-0.005005597
1.6233499999999998,1.5756,1.6711,0.1450473,0.004799475,-0.004799475
1.71885,1.6711,1.7666,0.1177262,0.004655199,-0.004655199
1.8143500000000001,1.7666,1.8621,0.09612908,0.004582024,-0.004582024
1.90985,1.8621,1.9576,0.07638248,0.004198873,-0.004198873
2.00535,1.9576,2.0531,0.06032102,0.003790031,-0.003790031
2.1008500000000003,2.0531,2.1486,0.0481347,0.003421632,-0.003421632
2.19635,2.1486,2.2441,0.03848433,0.003093083,-0.003093083
2.29185,2.2441,2.3396,0.02952543,0.00274578,-0.00274578
2.3873499999999996,2.3396,2.4351,0.022303,0.002214437,-0.002214437
2.48285,2.4351,2.5306,0.01859764,0.001716528,-0.001716528
2.5783500000000004,2.5306,2.6261,0.01465049,0.001360726,-0.001360726
2.72155,2.6261,2.817,0.0102834,0.001102749,-0.001102749
2.9125,2.817,3.008,0.005695931,0.0008343392,-0.0008343392
3.1035,3.008,3.199,0.003649874,0.0005495945,-0.0005495945
3.2945,3.199,3.39,0.001836108,0.0003112826,-0.0003112826
3.4855,3.39,3.581,0.001213397,0.0002459977,-0.0002459977

