#: table_doi: 10.17182/hepdata.70547.v2/t109
#: name: Table 109
#: description: Transverse scalar pT sum distribution, Z-boson pT = 10 - 20 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table127.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,10.0-20.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,1.422304,0.04240319,-0.04240319
0.0554,0.0525,0.0583,1.112323,0.03800679,-0.03800679
0.061149999999999996,0.0583,0.064,1.004722,0.03577354,-0.03577354
0.06684999999999999,0.064,0.0697,0.8069849,0.03510115,-0.03510115
0.07305,0.0697,0.0764,0.6669389,0.0298358,-0.0298358
0.0802,0.0764,0.084,0.5195363,0.02567403,-0.02567403
0.0888,0.084,0.0936,0.4150038,0.02088839,-0.02088839
0.09834999999999999,0.0936,0.1031,0.4614882,0.02000437,-0.02000437
0.10885,0.1031,0.1146,0.6284368,0.01909001,-0.01909001
0.12034999999999998,0.1146,0.1261,0.733146,0.01811607,-0.01811607
0.13085,0.1261,0.1356,0.6810502,0.01908503,-0.01908503
0.14179999999999998,0.1356,0.148,0.6238921,0.01844356,-0.01844356
0.15515,0.148,0.1623,0.6300611,0.01784269,-0.01784269
0.17185,0.1623,0.1814,0.6683644,0.01582035,-0.01582035
0.19095,0.1814,0.2005,0.6699534,0.01509752,-0.01509752
0.21005000000000001,0.2005,0.2196,0.6750549,0.01555621,-0.01555621
0.22915,0.2196,0.2387,0.6806272,0.01462627,-0.01462627
0.25305,0.2387,0.2674,0.7050914,0.01387673,-0.01387673
0.2817,0.2674,0.296,0.6805414,0.01279936,-0.01279936
0.31035,0.296,0.3247,0.677187,0.01218567,-0.01218567
0.33899999999999997,0.3247,0.3533,0.7022687,0.01188618,-0.01188618
0.3724,0.3533,0.3915,0.6902363,0.01111925,-0.01111925
0.4106,0.3915,0.4297,0.6766286,0.01023589,-0.01023589
0.4488,0.4297,0.4679,0.6800097,0.009634689,-0.009634689
0.49655,0.4679,0.5252,0.6575627,0.008604227,-0.008604227
0.5467,0.5252,0.5682,0.6663364,0.008282476,-0.008282476
0.59685,0.5682,0.6255,0.6468247,0.007220876,-0.007220876
0.6565,0.6255,0.6875,0.6180941,0.006455978,-0.006455978
0.72095,0.6875,0.7544,0.5996087,0.005920091,-0.005920091
0.7926,0.7544,0.8308,0.5491984,0.005131506,-0.005131506
0.87375,0.8308,0.9167,0.51735,0.004780975,-0.004780975
0.9621,0.9167,1.0075,0.4772977,0.004783408,-0.004783408
1.0575999999999999,1.0075,1.1077,0.4299797,0.004776326,-0.004776326
1.165,1.1077,1.2223,0.3834454,0.004560583,-0.004560583
1.282,1.2223,1.3417,0.3393023,0.004326057,-0.004326057
1.40855,1.3417,1.4754,0.2943837,0.00409475,-0.00409475
1.5493999999999999,1.4754,1.6234,0.2471548,0.00380913,-0.00380913
1.70455,1.6234,1.7857,0.2044255,0.003391344,-0.003391344
1.87405,1.7857,1.9624,0.1611818,0.003015818,-0.003015818
2.06025,1.9624,2.1581,0.1255715,0.002573338,-0.002573338
2.26795,2.1581,2.3778,0.09557849,0.00222643,-0.00222643
2.49715,2.3778,2.6165,0.07056533,0.001869719,-0.001869719
2.7454,2.6165,2.8743,0.05016239,0.001485257,-0.001485257
3.01755,2.8743,3.1608,0.03275913,0.001230745,-0.001230745
3.3207500000000003,3.1608,3.4807,0.02202212,0.0009371979,-0.0009371979
3.6550000000000002,3.4807,3.8293,0.01368392,0.000753669,-0.000753669
4.02025,3.8293,4.2112,0.008734988,0.0005965949,-0.0005965949
4.4213000000000005,4.2112,4.6314,0.005130969,0.0004582398,-0.0004582398
4.86295,4.6314,5.0945,0.002851608,0.0003336341,-0.0003336341
5.34995,5.0945,5.6054,0.001634131,0.0002607818,-0.0002607818
5.88475,5.6054,6.1641,0.0009238519,0.0002110964,-0.0002110964

