#: table_doi: 10.17182/hepdata.70547.v2/t101
#: name: Table 101
#: description: Trans.max. charged multiplicity distribution, Z-boson pT = 0 - 5 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table119.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,0.0-5.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.6271041,0.007988382,-0.007988382
0.382,0.2865,0.4775,0.7101149,0.007632109,-0.007632109
0.573,0.4775,0.6685,0.7125717,0.006763639,-0.006763639
0.76395,0.6685,0.8594,0.64347,0.005187033,-0.005187033
0.9549000000000001,0.8594,1.0504,0.5487563,0.00492692,-0.00492692
1.1459000000000001,1.0504,1.2414,0.4485445,0.004056726,-0.004056726
1.3369,1.2414,1.4324,0.3579294,0.003147886,-0.003147886
1.5278999999999998,1.4324,1.6234,0.2697003,0.003070188,-0.003070188
1.7189,1.6234,1.8144,0.2018952,0.003716302,-0.003716302
1.9099,1.8144,2.0054,0.144139,0.004020011,-0.004020011
2.10085,2.0054,2.1963,0.1040859,0.004110111,-0.004110111
2.2918000000000003,2.1963,2.3873,0.07034581,0.004037809,-0.004037809
2.4828,2.3873,2.5783,0.04938413,0.003685696,-0.003685696
2.6738,2.5783,2.7693,0.03208078,0.003151818,-0.003151818
2.8648,2.7693,2.9603,0.02092498,0.00257209,-0.00257209
3.0558,2.9603,3.1513,0.01461131,0.002039118,-0.002039118
3.2468,3.1513,3.3423,0.009853431,0.001535796,-0.001535796
3.43775,3.3423,3.5332,0.006527552,0.001107946,-0.001107946
3.6287000000000003,3.5332,3.7242,0.003546497,0.0008373321,-0.0008373321
3.8197,3.7242,3.9152,0.001834785,0.0006580355,-0.0006580355
4.0107,3.9152,4.1062,0.001389121,0.0005040349,-0.0005040349
4.201700000000001,4.1062,4.2972,0.00103527,0.0003246853,-0.0003246853

