#: table_doi: 10.17182/hepdata.70547.v2/t33
#: name: Table 33
#: description: Trans.min. charged multiplicity distribution, Z-boson pT = 50 - 110 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table39.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.8041406,0.01075669,-0.01075669
0.382,0.2865,0.4775,0.7793281,0.00894843,-0.00894843
0.573,0.4775,0.6685,0.6715051,0.007763606,-0.007763606
0.76395,0.6685,0.8594,0.5644051,0.005425192,-0.005425192
0.9549000000000001,0.8594,1.0504,0.4540578,0.00444331,-0.00444331
1.1459000000000001,1.0504,1.2414,0.346957,0.004563236,-0.004563236
1.3369,1.2414,1.4324,0.2608843,0.005057599,-0.005057599
1.5278999999999998,1.4324,1.6234,0.186553,0.005028714,-0.005028714
1.7189,1.6234,1.8144,0.1359797,0.004788447,-0.004788447
1.9099,1.8144,2.0054,0.09951486,0.004577677,-0.004577677
2.10085,2.0054,2.1963,0.07188362,0.004370704,-0.004370704
2.2918000000000003,2.1963,2.3873,0.05303018,0.00390502,-0.00390502
2.4828,2.3873,2.5783,0.03761862,0.003262622,-0.003262622
2.6738,2.5783,2.7693,0.02725542,0.002616623,-0.002616623
2.8648,2.7693,2.9603,0.01976877,0.002167,-0.002167
3.0558,2.9603,3.1513,0.01336811,0.001657812,-0.001657812
3.2468,3.1513,3.3423,0.008755435,0.001333427,-0.001333427
3.43775,3.3423,3.5332,0.006544237,0.001025756,-0.001025756
3.6287000000000003,3.5332,3.7242,0.004576404,0.0008453071,-0.0008453071
3.8197,3.7242,3.9152,0.003246881,0.0007189764,-0.0007189764
4.0107,3.9152,4.1062,0.002466395,0.0006221419,-0.0006221419
4.201700000000001,4.1062,4.2972,0.002128745,0.0004162274,-0.0004162274
4.3927,4.2972,4.4882,0.001718201,0.0003770929,-0.0003770929
4.5837,4.4882,4.6792,0.001448633,0.0003376139,-0.0003376139
4.96565,4.6792,5.2521,0.0007803634,0.0005730637,-0.0005730637

