#: table_doi: 10.17182/hepdata.70547.v2/t111
#: name: Table 111
#: description: Transverse scalar pT sum distribution, Z-boson pT = 50 - 110 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table129.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,0.7862795,0.06060935,-0.06060935
0.0554,0.0525,0.0583,0.6992269,0.05258691,-0.05258691
0.061149999999999996,0.0583,0.064,0.652538,0.05153599,-0.05153599
0.06684999999999999,0.064,0.0697,0.4751059,0.0458318,-0.0458318
0.07305,0.0697,0.0764,0.3652362,0.03922559,-0.03922559
0.0802,0.0764,0.084,0.3206842,0.03717616,-0.03717616
0.0888,0.084,0.0936,0.2768906,0.0294197,-0.0294197
0.09834999999999999,0.0936,0.1031,0.2750154,0.02676896,-0.02676896
0.10885,0.1031,0.1146,0.3836399,0.02324362,-0.02324362
0.12034999999999998,0.1146,0.1261,0.4442093,0.02156691,-0.02156691
0.13085,0.1261,0.1356,0.4481043,0.02416823,-0.02416823
0.14179999999999998,0.1356,0.148,0.4181233,0.02458679,-0.02458679
0.15515,0.148,0.1623,0.3625076,0.02370961,-0.02370961
0.17185,0.1623,0.1814,0.4469732,0.02115363,-0.02115363
0.19095,0.1814,0.2005,0.4746751,0.02055208,-0.02055208
0.21005000000000001,0.2005,0.2196,0.4477042,0.02064438,-0.02064438
0.22915,0.2196,0.2387,0.4814186,0.02066477,-0.02066477
0.25305,0.2387,0.2674,0.4861354,0.01926276,-0.01926276
0.2817,0.2674,0.296,0.4939123,0.01918914,-0.01918914
0.31035,0.296,0.3247,0.4999895,0.01849467,-0.01849467
0.33899999999999997,0.3247,0.3533,0.5188113,0.01729323,-0.01729323
0.3724,0.3533,0.3915,0.5029437,0.01568333,-0.01568333
0.4106,0.3915,0.4297,0.5291267,0.01630924,-0.01630924
0.4488,0.4297,0.4679,0.5207207,0.01493006,-0.01493006
0.49655,0.4679,0.5252,0.5360823,0.01379552,-0.01379552
0.5467,0.5252,0.5682,0.5388921,0.01323472,-0.01323472
0.59685,0.5682,0.6255,0.5374441,0.01192271,-0.01192271
0.6565,0.6255,0.6875,0.5181369,0.01146679,-0.01146679
0.72095,0.6875,0.7544,0.4959828,0.01047095,-0.01047095
0.7926,0.7544,0.8308,0.4740173,0.009213378,-0.009213378
0.87375,0.8308,0.9167,0.4492225,0.008611092,-0.008611092
0.9621,0.9167,1.0075,0.4255118,0.007918151,-0.007918151
1.0575999999999999,1.0075,1.1077,0.4133817,0.007080569,-0.007080569
1.165,1.1077,1.2223,0.3840265,0.006612942,-0.006612942
1.282,1.2223,1.3417,0.3511553,0.005957967,-0.005957967
1.40855,1.3417,1.4754,0.3124517,0.005349078,-0.005349078
1.5493999999999999,1.4754,1.6234,0.2741837,0.005216997,-0.005216997
1.70455,1.6234,1.7857,0.2413523,0.004797753,-0.004797753
1.87405,1.7857,1.9624,0.2054414,0.004372709,-0.004372709
2.06025,1.9624,2.1581,0.1724291,0.003979376,-0.003979376
2.26795,2.1581,2.3778,0.1429247,0.003408109,-0.003408109
2.49715,2.3778,2.6165,0.1159804,0.002917225,-0.002917225
2.7454,2.6165,2.8743,0.09312559,0.00248353,-0.00248353
3.01755,2.8743,3.1608,0.07120119,0.002170577,-0.002170577
3.3207500000000003,3.1608,3.4807,0.05390983,0.001781692,-0.001781692
3.6550000000000002,3.4807,3.8293,0.04276113,0.001480422,-0.001480422
4.02025,3.8293,4.2112,0.03311465,0.001295325,-0.001295325
4.4213000000000005,4.2112,4.6314,0.02419836,0.001090689,-0.001090689
4.86295,4.6314,5.0945,0.01671219,0.0009170106,-0.0009170106
5.34995,5.0945,5.6054,0.01252357,0.0007470955,-0.0007470955
5.88475,5.6054,6.1641,0.009784487,0.000585317,-0.000585317
6.47205,6.1641,6.78,0.007610823,0.0004875806,-0.0004875806
7.119,6.78,7.458,0.005449737,0.0004009323,-0.0004009323
7.8304,7.458,8.2028,0.004047162,0.0003329462,-0.0003329462
8.61345,8.2028,9.0241,0.002912084,0.0002724259,-0.0002724259
9.4777,9.0241,9.9313,0.002248935,0.0002236972,-0.0002236972

