#: table_doi: 10.17182/hepdata.70547.v2/t104
#: name: Table 104
#: description: Trans.max. charged multiplicity distribution, Z-boson pT = 20 - 50 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table122.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.3509754,0.008387169,-0.008387169
0.382,0.2865,0.4775,0.5068189,0.007691758,-0.007691758
0.573,0.4775,0.6685,0.5800789,0.006983608,-0.006983608
0.76395,0.6685,0.8594,0.593306,0.006234187,-0.006234187
0.9549000000000001,0.8594,1.0504,0.5667795,0.005345429,-0.005345429
1.1459000000000001,1.0504,1.2414,0.5130282,0.004260987,-0.004260987
1.3369,1.2414,1.4324,0.442993,0.003156812,-0.003156812
1.5278999999999998,1.4324,1.6234,0.3648468,0.003359053,-0.003359053
1.7189,1.6234,1.8144,0.2937955,0.004072577,-0.004072577
1.9099,1.8144,2.0054,0.2319312,0.004656472,-0.004656472
2.10085,2.0054,2.1963,0.179801,0.004946909,-0.004946909
2.2918000000000003,2.1963,2.3873,0.1375423,0.004795091,-0.004795091
2.4828,2.3873,2.5783,0.1030362,0.004500482,-0.004500482
2.6738,2.5783,2.7693,0.07494072,0.004040253,-0.004040253
2.8648,2.7693,2.9603,0.05451048,0.003441382,-0.003441382
3.0558,2.9603,3.1513,0.03842995,0.002768357,-0.002768357
3.2468,3.1513,3.3423,0.02713527,0.00212045,-0.00212045
3.43775,3.3423,3.5332,0.0191872,0.001681898,-0.001681898
3.6287000000000003,3.5332,3.7242,0.01434916,0.001361502,-0.001361502
3.8197,3.7242,3.9152,0.01024459,0.00109562,-0.00109562
4.0107,3.9152,4.1062,0.007219624,0.0008445297,-0.0008445297
4.201700000000001,4.1062,4.2972,0.004923745,0.0006450936,-0.0006450936
4.3927,4.2972,4.4882,0.003481539,0.0004683988,-0.0004683988
4.5837,4.4882,4.6792,0.00240517,0.0003800089,-0.0003800089
4.774649999999999,4.6792,4.8701,0.001701573,0.0002926721,-0.0002926721
4.9656,4.8701,5.0611,0.001068616,0.0002338535,-0.0002338535
5.1566,5.0611,5.2521,0.000895912,0.0001915025,-0.0001915025

