#: table_doi: 10.17182/hepdata.70547.v2/t96
#: name: Table 96
#: description: Trans.min. charged multiplicity distribution, Z-boson pT = 5 - 10 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table114.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,5.0-10.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.9500925,0.008829165,-0.008829165
0.382,0.2865,0.4775,0.824076,0.006841855,-0.006841855
0.573,0.4775,0.6685,0.6874377,0.00532415,-0.00532415
0.76395,0.6685,0.8594,0.5402869,0.003248502,-0.003248502
0.9549000000000001,0.8594,1.0504,0.3995481,0.002736052,-0.002736052
1.1459000000000001,1.0504,1.2414,0.2854691,0.003376929,-0.003376929
1.3369,1.2414,1.4324,0.1994229,0.004163339,-0.004163339
1.5278999999999998,1.4324,1.6234,0.1339649,0.004607555,-0.004607555
1.7189,1.6234,1.8144,0.08915425,0.004323247,-0.004323247
1.9099,1.8144,2.0054,0.05859055,0.003784565,-0.003784565
2.10085,2.0054,2.1963,0.03751647,0.003153624,-0.003153624
2.2918000000000003,2.1963,2.3873,0.02346903,0.002497727,-0.002497727
2.4828,2.3873,2.5783,0.01535696,0.001937264,-0.001937264
2.6738,2.5783,2.7693,0.008673429,0.001470924,-0.001470924
2.8648,2.7693,2.9603,0.00424069,0.001111522,-0.001111522
3.0558,2.9603,3.1513,0.002725776,0.0008434237,-0.0008434237
3.34225,3.1513,3.5332,0.001191865,0.0007137821,-0.0007137821

