#: table_doi: 10.17182/hepdata.70547.v2/t39
#: name: Table 39
#: description: Trans.max. charged multiplicity distribution, Z-boson pT = 50 - 110 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table45.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.27971,0.007933319,-0.007933319
0.382,0.2865,0.4775,0.43351,0.007730899,-0.007730899
0.573,0.4775,0.6685,0.5058879,0.007391219,-0.007391219
0.76395,0.6685,0.8594,0.5477722,0.007339329,-0.007339329
0.9549000000000001,0.8594,1.0504,0.5413634,0.006994421,-0.006994421
1.1459000000000001,1.0504,1.2414,0.5037237,0.005992288,-0.005992288
1.3369,1.2414,1.4324,0.4468937,0.004740476,-0.004740476
1.5278999999999998,1.4324,1.6234,0.388514,0.00419581,-0.00419581
1.7189,1.6234,1.8144,0.3138627,0.00437498,-0.00437498
1.9099,1.8144,2.0054,0.2587561,0.004628429,-0.004628429
2.10085,2.0054,2.1963,0.2126381,0.004936074,-0.004936074
2.2918000000000003,2.1963,2.3873,0.1689008,0.005201902,-0.005201902
2.4828,2.3873,2.5783,0.1317543,0.005217251,-0.005217251
2.6738,2.5783,2.7693,0.104138,0.0046017,-0.0046017
2.8648,2.7693,2.9603,0.0800775,0.004298564,-0.004298564
3.0558,2.9603,3.1513,0.06048609,0.003843742,-0.003843742
3.2468,3.1513,3.3423,0.04538169,0.003171705,-0.003171705
3.43775,3.3423,3.5332,0.03470837,0.0025819,-0.0025819
3.6287000000000003,3.5332,3.7242,0.02476076,0.002241314,-0.002241314
3.8197,3.7242,3.9152,0.01913594,0.001944781,-0.001944781
4.0107,3.9152,4.1062,0.0137587,0.001476899,-0.001476899
4.201700000000001,4.1062,4.2972,0.009912623,0.001177207,-0.001177207
4.3927,4.2972,4.4882,0.007043667,0.0009082879,-0.0009082879
4.5837,4.4882,4.6792,0.005046545,0.0007579668,-0.0007579668
4.774649999999999,4.6792,4.8701,0.003896124,0.0005911973,-0.0005911973
4.9656,4.8701,5.0611,0.002616516,0.0005015248,-0.0005015248
5.1566,5.0611,5.2521,0.001928561,0.0004407841,-0.0004407841
5.6341,5.2521,6.0161,0.0008479376,0.0005084078,-0.0005084078

