#: table_doi: 10.17182/hepdata.70547.v2/t105
#: name: Table 105
#: description: Trans.max. charged multiplicity distribution, Z-boson pT = 50 - 110 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table123.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.2804323,0.007940054,-0.007940054
0.382,0.2865,0.4775,0.4344868,0.007746275,-0.007746275
0.573,0.4775,0.6685,0.5072745,0.007402498,-0.007402498
0.76395,0.6685,0.8594,0.5474637,0.00730429,-0.00730429
0.9549000000000001,0.8594,1.0504,0.5426056,0.006999042,-0.006999042
1.1459000000000001,1.0504,1.2414,0.5070906,0.005902309,-0.005902309
1.3369,1.2414,1.4324,0.4457504,0.004707581,-0.004707581
1.5278999999999998,1.4324,1.6234,0.3873192,0.004309581,-0.004309581
1.7189,1.6234,1.8144,0.3131166,0.004454659,-0.004454659
1.9099,1.8144,2.0054,0.2581778,0.004611753,-0.004611753
2.10085,2.0054,2.1963,0.2104962,0.00490406,-0.00490406
2.2918000000000003,2.1963,2.3873,0.1684375,0.005199257,-0.005199257
2.4828,2.3873,2.5783,0.1324289,0.005209263,-0.005209263
2.6738,2.5783,2.7693,0.104365,0.004624099,-0.004624099
2.8648,2.7693,2.9603,0.07955211,0.004316153,-0.004316153
3.0558,2.9603,3.1513,0.05973633,0.003851589,-0.003851589
3.2468,3.1513,3.3423,0.04477395,0.003181888,-0.003181888
3.43775,3.3423,3.5332,0.03440817,0.002587003,-0.002587003
3.6287000000000003,3.5332,3.7242,0.02439682,0.002238721,-0.002238721
3.8197,3.7242,3.9152,0.01883908,0.001947039,-0.001947039
4.0107,3.9152,4.1062,0.01370703,0.0014895,-0.0014895
4.201700000000001,4.1062,4.2972,0.00980291,0.001187168,-0.001187168
4.3927,4.2972,4.4882,0.007040754,0.0009184155,-0.0009184155
4.5837,4.4882,4.6792,0.005143105,0.0007636067,-0.0007636067
4.774649999999999,4.6792,4.8701,0.00396573,0.0005984975,-0.0005984975
4.9656,4.8701,5.0611,0.002718644,0.0005108913,-0.0005108913
5.1566,5.0611,5.2521,0.002002018,0.0004504872,-0.0004504872
5.6341,5.2521,6.0161,0.000921158,0.000253711,-0.000253711

