#: table_doi: 10.17182/hepdata.70547.v2/t57
#: name: Table 57
#: description: Trans.min. scalar pT sum distribution, Z-boson pT = 50 - 110 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table69.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-min region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,2.074672,0.06021363,-0.06021363
0.11075,0.105,0.1165,1.647132,0.05305195,-0.05305195
0.12225,0.1165,0.128,1.450835,0.04905798,-0.04905798
0.13369999999999999,0.128,0.1394,1.219333,0.05338865,-0.05338865
0.1461,0.1394,0.1528,1.021865,0.04021994,-0.04021994
0.16044999999999998,0.1528,0.1681,0.7807116,0.03369223,-0.03369223
0.17765,0.1681,0.1872,0.655809,0.03036732,-0.03036732
0.19675,0.1872,0.2063,0.6420794,0.02825748,-0.02825748
0.21775,0.2063,0.2292,0.8006946,0.02526624,-0.02526624
0.24064999999999998,0.2292,0.2521,0.9644541,0.02593294,-0.02593294
0.26165,0.2521,0.2712,0.8740208,0.02499165,-0.02499165
0.28359999999999996,0.2712,0.296,0.7485224,0.02285149,-0.02285149
0.31035,0.296,0.3247,0.7314666,0.02071925,-0.02071925
0.3438,0.3247,0.3629,0.7528841,0.01652156,-0.01652156
0.382,0.3629,0.4011,0.7302451,0.01529451,-0.01529451
0.4202,0.4011,0.4393,0.6644149,0.01549841,-0.01549841
0.45840000000000003,0.4393,0.4775,0.6725996,0.01381854,-0.01381854
0.50615,0.4775,0.5348,0.6306154,0.0128699,-0.0128699
0.56345,0.5348,0.5921,0.5993511,0.01148329,-0.01148329
0.6207499999999999,0.5921,0.6494,0.5554198,0.01103874,-0.01103874
0.6779999999999999,0.6494,0.7066,0.5203018,0.01061094,-0.01061094
0.7448,0.7066,0.783,0.486574,0.009476974,-0.009476974
0.8212,0.783,0.8594,0.4425492,0.008786674,-0.008786674
0.8976,0.8594,0.9358,0.4113781,0.00810935,-0.00810935
0.9931,0.9358,1.0504,0.367937,0.007676586,-0.007676586
1.0934,1.0504,1.1364,0.3031412,0.007222597,-0.007222597
1.1937,1.1364,1.251,0.2723889,0.006396951,-0.006396951
1.31305,1.251,1.3751,0.2374545,0.005675695,-0.005675695
1.4419499999999998,1.3751,1.5088,0.1958529,0.00512146,-0.00512146
1.5852,1.5088,1.6616,0.1614428,0.004792273,-0.004792273
1.74755,1.6616,1.8335,0.1306655,0.00414643,-0.00414643
1.9242,1.8335,2.0149,0.1010065,0.003517392,-0.003517392
2.11515,2.0149,2.2154,0.07870079,0.003047575,-0.003047575
2.33,2.2154,2.4446,0.0602003,0.002584398,-0.002584398
2.564,2.4446,2.6834,0.04800793,0.002219272,-0.002219272
2.81705,2.6834,2.9507,0.03540541,0.001815224,-0.001815224
3.09875,2.9507,3.2468,0.02447886,0.001483783,-0.001483783
3.4091,3.2468,3.5714,0.01659097,0.001107664,-0.001107664
3.7481,3.5714,3.9248,0.01203846,0.0008759983,-0.0008759983
4.12055,3.9248,4.3163,0.008578144,0.0007336921,-0.0007336921
4.5359,4.3163,4.7555,0.006221649,0.000573249,-0.000573249
4.994249999999999,4.7555,5.233,0.004614307,0.0004370615,-0.0004370615
5.49085,5.233,5.7487,0.003440499,0.0003779644,-0.0003779644
6.03515,5.7487,6.3216,0.003368053,0.0003088035,-0.0003088035
6.641500000000001,6.3216,6.9614,0.0023275,0.000258743,-0.000258743
7.309950000000001,6.9614,7.6585,0.001821393,0.0002348247,-0.0002348247
8.0405,7.6585,8.4225,0.001465113,0.0001661643,-0.0001661643
8.842649999999999,8.4225,9.2628,0.001061288,0.0001497355,-0.0001497355
9.725950000000001,9.2628,10.1891,0.0007323067,0.0001174912,-0.0001174912
10.7,10.1891,11.2109,0.0006044971,0.0001055263,-0.0001055263

