#: table_doi: 10.17182/hepdata.90831.v1/t460
#: name: table no 460
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_460.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.211,0.015,-0.015,0.014,-0.014,0.018,-0.018
0.23500000000000001,0.14,0.33,0.316,0.016,-0.016,0.015,-0.015,0.013,-0.013
0.43000000000000005,0.33,0.53,0.375,0.015,-0.015,0.007,-0.007,0.013,-0.013
0.625,0.53,0.72,0.405,0.015,-0.015,0.011,-0.011,0.009,-0.009
0.815,0.72,0.91,0.372,0.013,-0.013,0.01,-0.01,0.008,-0.008
1.0050000000000001,0.91,1.1,0.359,0.013,-0.013,0.006,-0.006,0.007,-0.007
1.195,1.1,1.29,0.358,0.012,-0.012,0.004,-0.004,0.008,-0.008
1.385,1.29,1.48,0.358,0.011,-0.011,0.004,-0.004,0.008,-0.008
1.575,1.48,1.67,0.312,0.011,-0.011,0.004,-0.004,0.008,-0.008
1.7650000000000001,1.67,1.86,0.2517,0.0097,-0.0097,0.0031,-0.0031,0.008,-0.008
2.1,1.86,2.34,0.1961,0.0068,-0.0068,0.0022,-0.0022,0.003,-0.003
2.5300000000000002,2.34,2.72,0.149,0.006,-0.006,0.003,-0.003,0.004,-0.004
2.91,2.72,3.1,0.1073,0.0054,-0.0054,0.0062,-0.0062,0.0047,-0.0047
3.295,3.1,3.49,0.0788,0.0046,-0.0046,0.0064,-0.0064,0.0044,-0.0044
3.68,3.49,3.87,0.0589,0.0036,-0.0036,0.0009,-0.0009,0.0038,-0.0038
4.105,3.87,4.34,0.0475,0.0032,-0.0032,0.0028,-0.0028,0.002,-0.002
4.58,4.34,4.82,0.0364,0.0026,-0.0026,0.0016,-0.0016,0.0016,-0.0016
5.0600000000000005,4.82,5.3,0.026,0.002,-0.002,0.002,-0.002,0.001,-0.001
5.54,5.3,5.78,0.0181,0.0018,-0.0018,0.0006,-0.0006,0.002,-0.002

