#: table_doi: 10.17182/hepdata.90831.v1/t457
#: name: table no 457
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_457.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.3935,0.0091,-0.0091,0.0479,-0.0479,0.0172,-0.0172
0.23500000000000001,0.14,0.33,0.4716,0.0088,-0.0088,0.0384,-0.0384,0.0125,-0.0125
0.43000000000000005,0.33,0.53,0.5514,0.0085,-0.0085,0.0285,-0.0285,0.0097,-0.0097
0.625,0.53,0.72,0.5537,0.0074,-0.0074,0.0235,-0.0235,0.0071,-0.0071
0.815,0.72,0.91,0.5102,0.0067,-0.0067,0.0166,-0.0166,0.0045,-0.0045
1.0050000000000001,0.91,1.1,0.4543,0.0062,-0.0062,0.0137,-0.0137,0.0037,-0.0037
1.195,1.1,1.29,0.3899,0.0054,-0.0054,0.0098,-0.0098,0.004,-0.004
1.385,1.29,1.48,0.313,0.0048,-0.0048,0.0169,-0.0169,0.004,-0.004
1.575,1.48,1.67,0.2603,0.0043,-0.0043,0.0121,-0.0121,0.0054,-0.0054
1.7650000000000001,1.67,1.86,0.215,0.004,-0.004,0.012,-0.012,0.007,-0.007
2.1,1.86,2.34,0.1468,0.0025,-0.0025,0.0113,-0.0113,0.0031,-0.0031
2.5300000000000002,2.34,2.72,0.0947,0.0023,-0.0023,0.0079,-0.0079,0.0033,-0.0033
2.91,2.72,3.1,0.0709,0.0019,-0.0019,0.004,-0.004,0.0022,-0.0022
3.295,3.1,3.49,0.0509,0.0016,-0.0016,0.0022,-0.0022,0.0016,-0.0016
3.68,3.49,3.87,0.0347,0.0012,-0.0012,0.0026,-0.0026,0.0013,-0.0013
4.105,3.87,4.34,0.0279,0.0011,-0.0011,0.0009,-0.0009,0.0009,-0.0009
4.58,4.34,4.82,0.0205,0.0009,-0.0009,0.001,-0.001,0.0008,-0.0008
5.0600000000000005,4.82,5.3,0.0154,0.00081,-0.00081,0.00149,-0.00149,0.00079,-0.00079
5.54,5.3,5.78,0.01191,0.00066,-0.00066,0.00111,-0.00111,0.00092,-0.00092

