#: table_doi: 10.17182/hepdata.90831.v1/t93
#: name: table no 93
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,toward region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_93.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.14,0.025,-0.025,0.013,-0.013,0.013,-0.013
0.095,0.05,0.14,0.257,0.033,-0.033,0.016,-0.016,0.014,-0.014
0.19,0.14,0.24,0.325,0.035,-0.035,0.016,-0.016,0.017,-0.017
0.28500000000000003,0.24,0.33,0.429,0.038,-0.038,0.019,-0.019,0.02,-0.02
0.38,0.33,0.43,0.41,0.03,-0.03,0.02,-0.02,0.02,-0.02
0.48,0.43,0.53,0.496,0.038,-0.038,0.018,-0.018,0.022,-0.022
0.575,0.53,0.62,0.499,0.036,-0.036,0.017,-0.017,0.021,-0.021
0.6699999999999999,0.62,0.72,0.484,0.029,-0.029,0.016,-0.016,0.02,-0.02
0.765,0.72,0.81,0.51,0.03,-0.03,0.02,-0.02,0.02,-0.02
0.8600000000000001,0.81,0.91,0.632,0.037,-0.037,0.023,-0.023,0.021,-0.021
0.9550000000000001,0.91,1.0,0.625,0.035,-0.035,0.027,-0.027,0.02,-0.02
1.05,1.0,1.1,0.455,0.024,-0.024,0.029,-0.029,0.021,-0.021
1.145,1.1,1.19,0.488,0.033,-0.033,0.025,-0.025,0.022,-0.022
1.24,1.19,1.29,0.461,0.029,-0.029,0.02,-0.02,0.022,-0.022
1.335,1.29,1.38,0.4,0.023,-0.023,0.017,-0.017,0.018,-0.018
1.43,1.38,1.48,0.375,0.022,-0.022,0.017,-0.017,0.015,-0.015
1.53,1.48,1.58,0.294,0.019,-0.019,0.017,-0.017,0.014,-0.014
1.625,1.58,1.67,0.33,0.025,-0.025,0.017,-0.017,0.015,-0.015
1.72,1.67,1.77,0.29,0.02,-0.02,0.01,-0.01,0.02,-0.02
1.815,1.77,1.86,0.276,0.024,-0.024,0.013,-0.013,0.021,-0.021
1.9100000000000001,1.86,1.96,0.269,0.017,-0.017,0.012,-0.012,0.023,-0.023
2.005,1.96,2.05,0.277,0.021,-0.021,0.011,-0.011,0.023,-0.023
2.0999999999999996,2.05,2.15,0.17,0.016,-0.016,0.007,-0.007,0.022,-0.022
2.1950000000000003,2.15,2.24,0.25,0.02,-0.02,0.01,-0.01,0.02,-0.02
2.29,2.24,2.34,0.21,0.02,-0.02,0.01,-0.01,0.02,-0.02
2.3899999999999997,2.34,2.44,0.169,0.017,-0.017,0.006,-0.006,0.023,-0.023
2.485,2.44,2.53,0.134,0.019,-0.019,0.006,-0.006,0.022,-0.022
2.58,2.53,2.63,0.115,0.011,-0.011,0.006,-0.006,0.024,-0.024
2.7249999999999996,2.63,2.82,0.088,0.012,-0.012,0.004,-0.004,0.014,-0.014
2.915,2.82,3.01,0.068,0.011,-0.011,0.004,-0.004,0.015,-0.015
3.105,3.01,3.2,0.0534,0.0099,-0.0099,0.0044,-0.0044,0.0137,-0.0137
3.295,3.2,3.39,0.024,0.0054,-0.0054,0.0038,-0.0038,0.011,-0.011
3.4850000000000003,3.39,3.58,0.0371,0.0077,-0.0077,0.0036,-0.0036,0.0107,-0.0107
3.725,3.58,3.87,0.0154,0.0063,-0.0063,0.002,-0.002,0.0078,-0.0078
4.105,3.87,4.34,0.0119,0.0033,-0.0033,0.0012,-0.0012,0.0045,-0.0045

