#: table_doi: 10.17182/hepdata.90831.v1/t136
#: name: table no 136
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_136.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.334,0.004,-0.004,0.012,-0.012,0.016,-0.016
0.23500000000000001,0.14,0.33,0.4089,0.0037,-0.0037,0.0081,-0.0081,0.0115,-0.0115
0.43000000000000005,0.33,0.53,0.474,0.0034,-0.0034,0.0058,-0.0058,0.0101,-0.0101
0.625,0.53,0.72,0.4891,0.0032,-0.0032,0.0039,-0.0039,0.008,-0.008
0.815,0.72,0.91,0.4712,0.0029,-0.0029,0.0029,-0.0029,0.0057,-0.0057
1.0050000000000001,0.91,1.1,0.4402,0.0028,-0.0028,0.0025,-0.0025,0.0039,-0.0039
1.195,1.1,1.29,0.4005,0.0026,-0.0026,0.0026,-0.0026,0.0028,-0.0028
1.385,1.29,1.48,0.3513,0.0024,-0.0024,0.0025,-0.0025,0.0024,-0.0024
1.575,1.48,1.67,0.299,0.0022,-0.0022,0.0029,-0.0029,0.0033,-0.0033
1.7650000000000001,1.67,1.86,0.26,0.002,-0.002,0.003,-0.003,0.005,-0.005
2.1,1.86,2.34,0.194,0.0015,-0.0015,0.0015,-0.0015,0.0025,-0.0025
2.5300000000000002,2.34,2.72,0.1332,0.0013,-0.0013,0.0013,-0.0013,0.0034,-0.0034
2.91,2.72,3.1,0.0926,0.0011,-0.0011,0.0009,-0.0009,0.0033,-0.0033
3.295,3.1,3.49,0.06463,0.00085,-0.00085,0.00061,-0.00061,0.00275,-0.00275
3.68,3.49,3.87,0.04273,0.00064,-0.00064,0.00053,-0.00053,0.00217,-0.00217
4.105,3.87,4.34,0.02842,0.00055,-0.00055,0.00044,-0.00044,0.00126,-0.00126
4.58,4.34,4.82,0.01862,0.00043,-0.00043,0.00042,-0.00042,0.00086,-0.00086
5.0600000000000005,4.82,5.3,0.01221,0.00032,-0.00032,0.00045,-0.00045,0.00062,-0.00062
5.54,5.3,5.78,0.0087,0.00026,-0.00026,0.00042,-0.00042,0.00051,-0.00051

