#: table_doi: 10.17182/hepdata.90831.v1/t125
#: name: table no 125
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,away region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_125.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.0035,0.0025,-0.0025,0.0002,-0.0002,0.0016,-0.0016
0.095,0.05,0.14,0.0022,0.0013,-0.0013,0.0003,-0.0003,0.0017,-0.0017
0.19,0.14,0.24,0.0092,0.0064,-0.0064,0.0007,-0.0007,0.0024,-0.0024
0.28500000000000003,0.24,0.33,0.0037,0.0029,-0.0029,0.0009,-0.0009,0.0031,-0.0031
0.38,0.33,0.43,0.0024,0.0019,-0.0019,0.0012,-0.0012,0.0046,-0.0046
0.48,0.43,0.53,0.02,0.01,-0.01,0,0,0.01,-0.01
0.575,0.53,0.62,0.0277,0.0088,-0.0088,0.0027,-0.0027,0.0072,-0.0072
0.6699999999999999,0.62,0.72,0.0309,0.0081,-0.0081,0.0033,-0.0033,0.0077,-0.0077
0.765,0.72,0.81,0.0421,0.0087,-0.0087,0.0038,-0.0038,0.0077,-0.0077
0.8600000000000001,0.81,0.91,0.073,0.012,-0.012,0.005,-0.005,0.009,-0.009
0.9550000000000001,0.91,1.0,0.072,0.011,-0.011,0.005,-0.005,0.009,-0.009
1.05,1.0,1.1,0.114,0.018,-0.018,0.008,-0.008,0.01,-0.01
1.145,1.1,1.19,0.125,0.018,-0.018,0.008,-0.008,0.011,-0.011
1.24,1.19,1.29,0.109,0.012,-0.012,0.008,-0.008,0.012,-0.012
1.335,1.29,1.38,0.138,0.014,-0.014,0.01,-0.01,0.015,-0.015
1.43,1.38,1.48,0.148,0.016,-0.016,0.011,-0.011,0.017,-0.017
1.53,1.48,1.58,0.238,0.022,-0.022,0.016,-0.016,0.02,-0.02
1.625,1.58,1.67,0.228,0.018,-0.018,0.016,-0.016,0.019,-0.019
1.72,1.67,1.77,0.243,0.017,-0.017,0.017,-0.017,0.018,-0.018
1.815,1.77,1.86,0.265,0.018,-0.018,0.017,-0.017,0.018,-0.018
1.9100000000000001,1.86,1.96,0.28,0.02,-0.02,0.02,-0.02,0.02,-0.02
2.005,1.96,2.05,0.287,0.017,-0.017,0.017,-0.017,0.02,-0.02
2.0999999999999996,2.05,2.15,0.314,0.022,-0.022,0.018,-0.018,0.02,-0.02
2.1950000000000003,2.15,2.24,0.342,0.021,-0.021,0.019,-0.019,0.02,-0.02
2.29,2.24,2.34,0.309,0.018,-0.018,0.017,-0.017,0.022,-0.022
2.3899999999999997,2.34,2.44,0.337,0.024,-0.024,0.019,-0.019,0.025,-0.025
2.485,2.44,2.53,0.34,0.021,-0.021,0.019,-0.019,0.028,-0.028
2.58,2.53,2.63,0.32,0.021,-0.021,0.018,-0.018,0.03,-0.03
2.7249999999999996,2.63,2.82,0.35,0.02,-0.02,0.02,-0.02,0.02,-0.02
2.915,2.82,3.01,0.325,0.017,-0.017,0.018,-0.018,0.016,-0.016
3.105,3.01,3.2,0.33,0.017,-0.017,0.018,-0.018,0.015,-0.015
3.295,3.2,3.39,0.273,0.016,-0.016,0.016,-0.016,0.015,-0.015
3.4850000000000003,3.39,3.58,0.264,0.017,-0.017,0.016,-0.016,0.016,-0.016
3.725,3.58,3.87,0.242,0.014,-0.014,0.015,-0.015,0.011,-0.011
4.105,3.87,4.34,0.182,0.011,-0.011,0.011,-0.011,0.007,-0.007

