#: table_doi: 10.17182/hepdata.90831.v1/t160
#: name: table no 160
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,away region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_160.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0505,0.0015,-0.0015,0.0019,-0.0019,0.0046,-0.0046
0.23500000000000001,0.14,0.33,0.0756,0.0015,-0.0015,0.0018,-0.0018,0.0038,-0.0038
0.43000000000000005,0.33,0.53,0.1077,0.0017,-0.0017,0.0021,-0.0021,0.0046,-0.0046
0.625,0.53,0.72,0.1392,0.0018,-0.0018,0.0026,-0.0026,0.0054,-0.0054
0.815,0.72,0.91,0.1825,0.0019,-0.0019,0.0033,-0.0033,0.0059,-0.0059
1.0050000000000001,0.91,1.1,0.2138,0.0021,-0.0021,0.0038,-0.0038,0.0062,-0.0062
1.195,1.1,1.29,0.2484,0.0022,-0.0022,0.0044,-0.0044,0.0061,-0.0061
1.385,1.29,1.48,0.2813,0.0022,-0.0022,0.0049,-0.0049,0.0058,-0.0058
1.575,1.48,1.67,0.3044,0.0023,-0.0023,0.0053,-0.0053,0.0055,-0.0055
1.7650000000000001,1.67,1.86,0.3158,0.0024,-0.0024,0.0055,-0.0055,0.005,-0.005
2.1,1.86,2.34,0.3172,0.0017,-0.0017,0.0055,-0.0055,0.0019,-0.0019
2.5300000000000002,2.34,2.72,0.291,0.0016,-0.0016,0.0051,-0.0051,0.0024,-0.0024
2.91,2.72,3.1,0.2484,0.0016,-0.0016,0.0043,-0.0043,0.003,-0.003
3.295,3.1,3.49,0.1945,0.0014,-0.0014,0.0034,-0.0034,0.0037,-0.0037
3.68,3.49,3.87,0.1493,0.0012,-0.0012,0.0026,-0.0026,0.0041,-0.0041
4.105,3.87,4.34,0.1069,0.0011,-0.0011,0.0019,-0.0019,0.0032,-0.0032
4.58,4.34,4.82,0.0713,0.0008,-0.0008,0.0013,-0.0013,0.0027,-0.0027
5.0600000000000005,4.82,5.3,0.04445,0.00066,-0.00066,0.00095,-0.00095,0.00224,-0.00224
5.54,5.3,5.78,0.02706,0.00054,-0.00054,0.00077,-0.00077,0.00171,-0.00171

