#: table_doi: 10.17182/hepdata.90831.v1/t92
#: name: table no 92
#: description: Figure 02b from auxiliary figures,  nTracks toward_zptregion7, $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_92.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.176,0.016,-0.016,0.011,-0.011,0.013,-0.013
0.095,0.05,0.14,0.254,0.019,-0.019,0.011,-0.011,0.013,-0.013
0.19,0.14,0.24,0.333,0.019,-0.019,0.01,-0.01,0.013,-0.013
0.28500000000000003,0.24,0.33,0.388,0.017,-0.017,0.01,-0.01,0.014,-0.014
0.38,0.33,0.43,0.46,0.016,-0.016,0.01,-0.01,0.016,-0.016
0.48,0.43,0.53,0.523,0.017,-0.017,0.01,-0.01,0.016,-0.016
0.575,0.53,0.62,0.55,0.017,-0.017,0.011,-0.011,0.015,-0.015
0.6699999999999999,0.62,0.72,0.576,0.016,-0.016,0.01,-0.01,0.012,-0.012
0.765,0.72,0.81,0.559,0.018,-0.018,0.01,-0.01,0.011,-0.011
0.8600000000000001,0.81,0.91,0.554,0.015,-0.015,0.008,-0.008,0.01,-0.01
0.9550000000000001,0.91,1.0,0.517,0.015,-0.015,0.007,-0.007,0.009,-0.009
1.05,1.0,1.1,0.514,0.013,-0.013,0.006,-0.006,0.008,-0.008
1.145,1.1,1.19,0.459,0.013,-0.013,0.006,-0.006,0.007,-0.007
1.24,1.19,1.29,0.451,0.012,-0.012,0.005,-0.005,0.007,-0.007
1.335,1.29,1.38,0.401,0.012,-0.012,0.005,-0.005,0.007,-0.007
1.43,1.38,1.48,0.388,0.011,-0.011,0.006,-0.006,0.008,-0.008
1.53,1.48,1.58,0.376,0.013,-0.013,0.006,-0.006,0.009,-0.009
1.625,1.58,1.67,0.334,0.011,-0.011,0.007,-0.007,0.011,-0.011
1.72,1.67,1.77,0.3,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.815,1.77,1.86,0.29,0.01,-0.01,0,0,0.01,-0.01
1.9100000000000001,1.86,1.96,0.2518,0.0088,-0.0088,0.0046,-0.0046,0.0096,-0.0096
2.005,1.96,2.05,0.2286,0.0086,-0.0086,0.0051,-0.0051,0.0093,-0.0093
2.0999999999999996,2.05,2.15,0.1893,0.0073,-0.0073,0.0058,-0.0058,0.0087,-0.0087
2.1950000000000003,2.15,2.24,0.1935,0.0089,-0.0089,0.0065,-0.0065,0.0086,-0.0086
2.29,2.24,2.34,0.1653,0.0071,-0.0071,0.0054,-0.0054,0.0088,-0.0088
2.3899999999999997,2.34,2.44,0.1442,0.0059,-0.0059,0.0048,-0.0048,0.0081,-0.0081
2.485,2.44,2.53,0.1223,0.0066,-0.0066,0.0035,-0.0035,0.0073,-0.0073
2.58,2.53,2.63,0.0912,0.0052,-0.0052,0.0027,-0.0027,0.0076,-0.0076
2.7249999999999996,2.63,2.82,0.0818,0.0044,-0.0044,0.0015,-0.0015,0.0052,-0.0052
2.915,2.82,3.01,0.0621,0.0043,-0.0043,0.0015,-0.0015,0.0064,-0.0064
3.105,3.01,3.2,0.0639,0.0048,-0.0048,0.0021,-0.0021,0.007,-0.007
3.295,3.2,3.39,0.0398,0.0038,-0.0038,0.0023,-0.0023,0.006,-0.006
3.4850000000000003,3.39,3.58,0.0329,0.0033,-0.0033,0.0019,-0.0019,0.0049,-0.0049
3.725,3.58,3.87,0.0153,0.0025,-0.0025,0.0009,-0.0009,0.0026,-0.0026
4.105,3.87,4.34,0.0072,0.0012,-0.0012,0.0005,-0.0005,0.0012,-0.0012

