#: table_doi: 10.17182/hepdata.90831.v1/t101
#: name: table no 101
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transverse region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_101.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.071,0.021,-0.021,0.007,-0.007,0.009,-0.009
0.095,0.05,0.14,0.143,0.026,-0.026,0.008,-0.008,0.011,-0.011
0.19,0.14,0.24,0.228,0.029,-0.029,0.01,-0.01,0.013,-0.013
0.28500000000000003,0.24,0.33,0.245,0.023,-0.023,0.011,-0.011,0.014,-0.014
0.38,0.33,0.43,0.276,0.027,-0.027,0.011,-0.011,0.015,-0.015
0.48,0.43,0.53,0.354,0.028,-0.028,0.013,-0.013,0.017,-0.017
0.575,0.53,0.62,0.47,0.034,-0.034,0.017,-0.017,0.019,-0.019
0.6699999999999999,0.62,0.72,0.495,0.032,-0.032,0.018,-0.018,0.019,-0.019
0.765,0.72,0.81,0.535,0.034,-0.034,0.019,-0.019,0.018,-0.018
0.8600000000000001,0.81,0.91,0.436,0.023,-0.023,0.017,-0.017,0.019,-0.019
0.9550000000000001,0.91,1.0,0.456,0.031,-0.031,0.017,-0.017,0.019,-0.019
1.05,1.0,1.1,0.552,0.036,-0.036,0.019,-0.019,0.021,-0.021
1.145,1.1,1.19,0.457,0.026,-0.026,0.016,-0.016,0.022,-0.022
1.24,1.19,1.29,0.447,0.024,-0.024,0.016,-0.016,0.024,-0.024
1.335,1.29,1.38,0.489,0.031,-0.031,0.017,-0.017,0.023,-0.023
1.43,1.38,1.48,0.429,0.025,-0.025,0.015,-0.015,0.023,-0.023
1.53,1.48,1.58,0.335,0.022,-0.022,0.012,-0.012,0.022,-0.022
1.625,1.58,1.67,0.344,0.022,-0.022,0.013,-0.013,0.022,-0.022
1.72,1.67,1.77,0.302,0.021,-0.021,0.012,-0.012,0.023,-0.023
1.815,1.77,1.86,0.299,0.019,-0.019,0.014,-0.014,0.023,-0.023
1.9100000000000001,1.86,1.96,0.3,0.02,-0.02,0.01,-0.01,0.03,-0.03
2.005,1.96,2.05,0.269,0.019,-0.019,0.012,-0.012,0.025,-0.025
2.0999999999999996,2.05,2.15,0.295,0.023,-0.023,0.01,-0.01,0.026,-0.026
2.1950000000000003,2.15,2.24,0.239,0.019,-0.019,0.009,-0.009,0.024,-0.024
2.29,2.24,2.34,0.195,0.017,-0.017,0.007,-0.007,0.026,-0.026
2.3899999999999997,2.34,2.44,0.177,0.016,-0.016,0.007,-0.007,0.026,-0.026
2.485,2.44,2.53,0.21,0.02,-0.02,0.01,-0.01,0.03,-0.03
2.58,2.53,2.63,0.173,0.017,-0.017,0.006,-0.006,0.026,-0.026
2.7249999999999996,2.63,2.82,0.161,0.012,-0.012,0.005,-0.005,0.013,-0.013
2.915,2.82,3.01,0.105,0.011,-0.011,0.003,-0.003,0.012,-0.012
3.105,3.01,3.2,0.077,0.011,-0.011,0.003,-0.003,0.011,-0.011
3.295,3.2,3.39,0.0621,0.0087,-0.0087,0.0023,-0.0023,0.0106,-0.0106
3.4850000000000003,3.39,3.58,0.0543,0.0085,-0.0085,0.0022,-0.0022,0.0106,-0.0106
3.725,3.58,3.87,0.026,0.0045,-0.0045,0.0016,-0.0016,0.0068,-0.0068
4.105,3.87,4.34,0.0212,0.0042,-0.0042,0.0011,-0.0011,0.0036,-0.0036

